decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income,group
0.0,0,0,1,30.333334,0,60000000,2.0
0.0,1,0,0,38.25,0,60000000,0.0
0.0,0,0,1,59.333332,0,195000000,2.0
0.0,0,0,1,40.5,0,60000000,2.0
0.0,0,1,0,49.916668,0,60000000,1.0
0.0,0,0,1,40.666668,0,264000000,2.0
0.0,1,0,0,37.833332,0,60000000,0.0
0.0,0,0,1,26.5,0,60000000,2.0
0.0,0,1,0,43.166668,0,60000000,1.0
0.0,0,1,0,51.5,0,207000000,1.0
0.0,1,0,0,59.0,0,420000000,0.0
0.0,1,0,0,28.583334,0,180000000,0.0
0.0,1,0,0,50.083332,0,201000000,0.0
0.0,0,0,1,36.5,0,60000000,2.0
1.0,0,0,1,48.833332,0,60000000,2.0
0.0,0,0,1,38.833332,0,60000000,2.0
0.0,0,0,1,42.166668,0,60000000,2.0
0.0,1,0,0,44.75,0,60000000,0.0
0.0,0,1,0,54.583332,0,344000000,1.0
1.0,0,1,0,49.25,0,25000000,1.0
1.0,0,1,0,36.416668,0,60000000,1.0
0.0,0,0,1,57.0,0,1000000000,2.0
0.0,0,1,0,32.833332,0,60000000,1.0
1.0,0,1,0,62.416668,0,25000000,1.0
0.0,0,1,0,49.083332,0,960000000,1.0
0.0,0,1,0,54.083332,0,60000000,1.0
0.0,0,0,1,48.833332,0,60000000,2.0
1.0,0,0,1,46.333332,0,65000000,2.0
0.0,0,1,0,43.916668,1,60000000,1.0
0.0,0,1,0,40.333332,1,60000000,1.0
0.0,0,1,0,53.166668,1,60000000,1.0
0.0,1,0,0,57.416668,0,60000000,0.0
0.0,0,1,0,62.916668,0,60000000,1.0
0.0,0,1,0,50.5,1,249000000,1.0
1.0,0,0,1,38.666668,0,25000000,2.0
1.0,0,0,1,39.5,0,60000000,2.0
0.0,1,0,0,50.083332,1,360000000,0.0
0.0,0,0,1,48.5,1,1000000000,2.0
0.0,0,0,1,55.0,0,450000000,2.0
1.0,0,0,1,44.416668,0,60000000,2.0
1.0,1,0,0,56.833332,0,60000000,0.0
0.0,1,0,0,47.25,0,386000000,0.0
0.0,0,0,1,51.666668,0,25000000,2.0
0.0,0,1,0,56.333332,0,60000000,1.0
0.0,0,0,1,56.083332,1,300000000,2.0
0.0,1,0,0,40.666668,0,25000000,0.0
1.0,0,0,1,47.666668,0,65000000,2.0
1.0,0,0,1,50.25,1,1000000000,2.0
0.0,1,0,0,38.916668,0,300000000,0.0
