Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;6;3;1;89;34;2;7;4;2;124;;1;4;7;Eight
Sausages;3;2;1;82;34;2;7;4;2;124;;1;4;7;Eight
Nuggets;5;3;1;81;34;2;7;4;2;124;;1;4;7;Eight
Meatballs;1;1;1;40;34;2;7;4;2;124;;1;4;7;Eight
Burger;3;1;0;25;30;1;7;3;5;120;;1;4;8;Eight
Sausages;3;1;0;30;30;1;7;3;5;120;;1;4;8;Eight
Nuggets;3;1;0;40;30;1;7;3;5;120;;1;4;8;Eight
Meatballs;2;1;0;40;30;1;7;3;5;120;;1;4;8;Eight
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;3;1;1;73;62;1;4;2;3;162;;1;4;32;Eight
Sausages;5;5;1;64;62;1;4;2;3;162;;1;4;32;Eight
Nuggets;1;1;1;82;62;1;4;2;3;162;;1;4;32;Eight
Meatballs;5;4;1;71;62;1;4;2;3;162;;1;4;32;Eight
Burger;1;1;1;75;58;1;7;1;4;108;;1;4;36;Eight
Sausages;3;1;1;60;58;1;7;1;4;108;;1;4;36;Eight
Nuggets;1;1;1;80;58;1;7;1;4;108;;1;4;36;Eight
Meatballs;1;1;0;45;58;1;7;1;4;108;;1;4;36;Eight
Burger;5;6;1;80;32;2;8;5;4;131;;1;4;38;Eight
Sausages;6;6;1;95;32;2;8;5;4;131;;1;4;38;Eight
Nuggets;6;7;1;85;32;2;8;5;4;131;;1;4;38;Eight
Meatballs;3;3;1;35;32;2;8;5;4;131;;1;4;38;Eight
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;6;6;1;84;39;2;5;3;3;148;;1;4;58;Eight
Sausages;5;6;1;82;39;2;5;3;3;148;;1;4;58;Eight
