Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;3;5;1;65;30;2;8;2;2;188;;1;4;10;Five
Sausages;5;6;1;76;30;2;8;2;2;188;;1;4;10;Five
Nuggets;3;5;1;80;30;2;8;2;2;188;;1;4;10;Five
Meatballs;7;7;1;90;30;2;8;2;2;188;;1;4;10;Five
Burger;2;2;0;25;38;2;5;3;4;163;;1;4;11;Five
Sausages;7;4;1;75;38;2;5;3;4;163;;1;4;11;Five
Nuggets;1;1;0;10;38;2;5;3;4;163;;1;4;11;Five
Meatballs;7;5;1;75;38;2;5;3;4;163;;1;4;11;Five
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;2;4;1;80;42;2;8;4;3;174;;1;4;29;Five
Sausages;6;4;1;85;42;2;8;4;3;174;;1;4;29;Five
Nuggets;4;4;1;84;42;2;8;4;3;174;;1;4;29;Five
Meatballs;6;4;1;85;42;2;8;4;3;174;;1;4;29;Five
Burger;6;6;1;81;41;2;7;3;4;234;;1;4;31;Five
Sausages;6;5;1;80;41;2;7;3;4;234;;1;4;31;Five
Nuggets;2;2;1;50;41;2;7;3;4;234;;1;4;31;Five
Meatballs;4;4;1;40;41;2;7;3;4;234;;1;4;31;Five
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;4;3;1;23;35;2;8;2;3;152;;1;4;43;Five
Sausages;6;3;1;51;35;2;8;2;3;152;;1;4;43;Five
Nuggets;6;3;1;50;35;2;8;2;3;152;;1;4;43;Five
Meatballs;4;5;1;50;35;2;8;2;3;152;;1;4;43;Five
Burger;5;4;1;83;58;1;7;4;6;159;;1;4;44;Five
Sausages;4;4;1;60;58;1;7;4;6;159;;1;4;44;Five
Nuggets;5;4;1;75;58;1;7;4;6;159;;1;4;44;Five
Meatballs;5;5;1;82;58;1;7;4;6;159;;1;4;44;Five
Burger;2;1;0;60;27;1;5;3;2;148;;1;4;51;Five
Sausages;4;3;1;66;27;1;5;3;2;148;;1;4;51;Five
Nuggets;4;3;1;75;27;1;5;3;2;148;;1;4;51;Five
Meatballs;3;2;0;51;27;1;5;3;2;148;;1;4;51;Five
Burger;3;3;1;35;43;2;7;3;5;141;;1;4;60;Five
Sausages;4;2;0;31;43;2;7;3;5;141;;1;4;60;Five
Nuggets;5;4;1;47;43;2;7;3;5;141;;1;4;60;Five
Meatballs;6;3;1;41;43;2;7;3;5;141;;1;4;60;Five
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
