Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;4;2;0;50;53;1;7;3;1;152;;1;4;12;Four
Sausages;5;5;1;70;53;1;7;3;1;152;;1;4;12;Four
Nuggets;3;3;1;50;53;1;7;3;1;152;;1;4;12;Four
Meatballs;5;5;1;70;53;1;7;3;1;152;;1;4;12;Four
Burger;2;1;0;50;29;2;7;4;2;152;;1;4;14;Four
Sausages;7;7;1;92;29;2;7;4;2;152;;1;4;14;Four
Nuggets;3;6;1;80;29;2;7;4;2;152;;1;4;14;Four
Meatballs;5;3;1;70;29;2;7;4;2;152;;1;4;14;Four
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;4;3;0;40;34;2;6;4;4;146;;1;4;20;Four
Sausages;3;3;0;56;34;2;6;4;4;146;;1;4;20;Four
Nuggets;5;4;1;69;34;2;6;4;4;146;;1;4;20;Four
Meatballs;4;3;1;71;34;2;6;4;4;146;;1;4;20;Four
Burger;5;5;1;93;31;1;8;3;1;92;;1;4;22;Four
Sausages;7;6;1;87;31;1;8;3;1;92;;1;4;22;Four
Nuggets;3;5;1;82;31;1;8;3;1;92;;1;4;22;Four
Meatballs;7;6;1;80;31;1;8;3;1;92;;1;4;22;Four
Burger;4;1;1;90;34;1;7;5;4;124;;1;4;37;Four
Sausages;7;5;1;95;34;1;7;5;4;124;;1;4;37;Four
Nuggets;5;4;1;95;34;1;7;5;4;124;;1;4;37;Four
Meatballs;2;1;1;20;34;1;7;5;4;124;;1;4;37;Four
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;4;4;1;45;49;1;7;2;3;131;;1;4;54;Four
Sausages;5;5;1;55;49;1;7;2;3;131;;1;4;54;Four
Nuggets;6;6;1;65;49;1;7;2;3;131;;1;4;54;Four
Meatballs;5;5;1;60;49;1;7;2;3;131;;1;4;54;Four
Burger;4;2;1;81;26;1;4;2;6;164;;1;4;57;Four
Sausages;4;2;1;60;26;1;4;2;6;164;;1;4;57;Four
Nuggets;4;1;0;50;26;1;4;2;6;164;;1;4;57;Four
Meatballs;1;1;1;40;26;1;4;2;6;164;;1;4;57;Four
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
Meatballs;1;2;1;76;58;2;7;2;4;137;;1;4;76;Control
Burger;5;6;1;40;49;2;6;3;4;129;;1;4;87;Four
Sausages;7;7;1;50;49;2;6;3;4;129;;1;4;87;Four
Nuggets;6;7;1;51;49;2;6;3;4;129;;1;4;87;Four
Meatballs;4;6;1;19;49;2;6;3;4;129;;1;4;87;Four
Burger;5;6;1;34;44;1;7;1;7;99;;1;4;88;Four
Sausages;4;4;1;35;44;1;7;1;7;99;;1;4;88;Four
Nuggets;4;5;1;31;44;1;7;1;7;99;;1;4;88;Four
Meatballs;6;5;1;33;44;1;7;1;7;99;;1;4;88;Four
Burger;6;6;1;90;41;1;7;3;3;146;;1;4;94;Control
Sausages;2;3;0;49;41;1;7;3;3;146;;1;4;94;Control
Nuggets;3;6;1;75;41;1;7;3;3;146;;1;4;94;Control
Meatballs;1;4;1;63;41;1;7;3;3;146;;1;4;94;Control
Burger;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Sausages;3;4;1;90;50;2;8;3;3;264;;1;4;96;Control
Nuggets;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Meatballs;3;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Burger;4;2;1;45;45;1;8;5;7;249;;1;4;107;Control
Sausages;3;2;1;50;45;1;8;5;7;249;;1;4;107;Control
Nuggets;3;2;0;33;45;1;8;5;7;249;;1;4;107;Control
Meatballs;2;1;0;25;45;1;8;5;7;249;;1;4;107;Control
Burger;5;4;1;81;72;1;4;2;6;145;;1;4;108;Four
Sausages;1;1;0;29;72;1;4;2;6;145;;1;4;108;Four
Nuggets;1;1;0;30;72;1;4;2;6;145;;1;4;108;Four
Meatballs;3;3;1;55;72;1;4;2;6;145;;1;4;108;Four
Burger;5;5;1;70;30;2;7;2;1;338;;1;4;109;Four
Sausages;6;6;1;80;30;2;7;2;1;338;;1;4;109;Four
Nuggets;6;5;1;75;30;2;7;2;1;338;;1;4;109;Four
Meatballs;5;5;1;80;30;2;7;2;1;338;;1;4;109;Four
Burger;4;5;1;50;29;2;7;5;5;334;;1;4;112;Four
Sausages;5;6;1;50;29;2;7;5;5;334;;1;4;112;Four
Nuggets;6;6;1;45;29;2;7;5;5;334;;1;4;112;Four
Meatballs;6;6;1;40;29;2;7;5;5;334;;1;4;112;Four
Burger;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Sausages;5;5;1;50;33;2;8;2;2;122;;1;4;118;Control
Nuggets;5;5;1;60;33;2;8;2;2;122;;1;4;118;Control
