Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;3;3;1;90;43;2;7;3;3;160;;1;4;25;Nine
Sausages;3;4;1;90;43;2;7;3;3;160;;1;4;25;Nine
Nuggets;5;5;1;80;43;2;7;3;3;160;;1;4;25;Nine
Meatballs;5;4;1;86;43;2;7;3;3;160;;1;4;25;Nine
Burger;3;2;0;31;50;1;7;1;4;92;;1;4;28;Nine
Sausages;2;2;0;26;50;1;7;1;4;92;;1;4;28;Nine
Nuggets;2;2;0;26;50;1;7;1;4;92;;1;4;28;Nine
Meatballs;2;2;0;32;50;1;7;1;4;92;;1;4;28;Nine
Burger;4;2;0;50;56;2;7;5;2;118;;1;4;30;Nine
Sausages;3;2;0;58;56;2;7;5;2;118;;1;4;30;Nine
Nuggets;3;1;0;66;56;2;7;5;2;118;;1;4;30;Nine
Meatballs;4;2;0;53;56;2;7;5;2;118;;1;4;30;Nine
Burger;5;3;1;75;59;1;5;4;3;202;;1;4;35;Nine
Sausages;4;5;1;80;59;1;5;4;3;202;;1;4;35;Nine
Nuggets;5;3;1;80;59;1;5;4;3;202;;1;4;35;Nine
Meatballs;5;5;1;80;59;1;5;4;3;202;;1;4;35;Nine
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;5;5;1;96;55;1;7;4;2;125;;1;4;56;Nine
Sausages;5;5;1;94;55;1;7;4;2;125;;1;4;56;Nine
Nuggets;4;5;1;85;55;1;7;4;2;125;;1;4;56;Nine
Meatballs;3;5;1;64;55;1;7;4;2;125;;1;4;56;Nine
Burger;1;1;0;5;52;1;8;5;2;179;;1;4;62;Nine
Sausages;3;1;0;15;52;1;8;5;2;179;;1;4;62;Nine
Nuggets;3;1;0;14;52;1;8;5;2;179;;1;4;62;Nine
Meatballs;1;1;0;10;52;1;8;5;2;179;;1;4;62;Nine
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;5;5;1;61;53;1;7;4;6;120;;1;4;74;Nine
Sausages;5;4;1;50;53;1;7;4;6;120;;1;4;74;Nine
Nuggets;6;6;1;80;53;1;7;4;6;120;;1;4;74;Nine
Meatballs;6;6;1;70;53;1;7;4;6;120;;1;4;74;Nine
Burger;5;6;1;83;64;2;4;2;3;187;;1;4;75;Nine
Sausages;4;4;1;52;64;2;4;2;3;187;;1;4;75;Nine
Nuggets;6;6;1;92;64;2;4;2;3;187;;1;4;75;Nine
Meatballs;4;5;1;73;64;2;4;2;3;187;;1;4;75;Nine
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
