Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;7;7;1;80;33;2;8;4;4;87;;1;4;3;Seven
Sausages;7;7;1;82;33;2;8;4;4;87;;1;4;3;Seven
Nuggets;7;7;1;100;33;2;8;4;4;87;;1;4;3;Seven
Meatballs;7;7;1;81;33;2;8;4;4;87;;1;4;3;Seven
Burger;6;1;1;65;43;2;5;4;4;111;;1;4;13;Seven
Sausages;5;1;0;60;43;2;5;4;4;111;;1;4;13;Seven
Nuggets;5;4;1;65;43;2;5;4;4;111;;1;4;13;Seven
Meatballs;5;1;1;65;43;2;5;4;4;111;;1;4;13;Seven
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;5;5;1;87;51;1;3;2;4;109;;1;4;26;Seven
Sausages;4;4;1;81;51;1;3;2;4;109;;1;4;26;Seven
Nuggets;4;4;1;84;51;1;3;2;4;109;;1;4;26;Seven
Meatballs;4;4;1;66;51;1;3;2;4;109;;1;4;26;Seven
Burger;1;1;0;20;63;2;7;2;4;220;;1;4;34;Seven
Sausages;1;1;0;10;63;2;7;2;4;220;;1;4;34;Seven
Nuggets;1;1;0;20;63;2;7;2;4;220;;1;4;34;Seven
Meatballs;1;1;0;10;63;2;7;2;4;220;;1;4;34;Seven
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;5;3;1;71;44;1;5;2;6;187;;1;4;45;Seven
Sausages;2;2;1;55;44;1;5;2;6;187;;1;4;45;Seven
Nuggets;5;3;1;69;44;1;5;2;6;187;;1;4;45;Seven
Meatballs;4;3;1;65;44;1;5;2;6;187;;1;4;45;Seven
Burger;3;2;1;75;54;1;7;3;5;141;;1;4;52;Seven
Sausages;2;2;1;70;54;1;7;3;5;141;;1;4;52;Seven
Nuggets;3;1;1;65;54;1;7;3;5;141;;1;4;52;Seven
Meatballs;3;2;1;70;54;1;7;3;5;141;;1;4;52;Seven
Burger;5;4;1;75;53;1;7;2;4;147;;1;4;53;Seven
Sausages;4;4;1;65;53;1;7;2;4;147;;1;4;53;Seven
Nuggets;5;5;1;68;53;1;7;2;4;147;;1;4;53;Seven
Meatballs;2;2;1;40;53;1;7;2;4;147;;1;4;53;Seven
Burger;7;7;1;39;58;2;7;2;3;148;;1;4;64;Seven
Sausages;5;5;1;22;58;2;7;2;3;148;;1;4;64;Seven
Nuggets;5;4;1;30;58;2;7;2;3;148;;1;4;64;Seven
Meatballs;7;7;1;41;58;2;7;2;3;148;;1;4;64;Seven
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
Meatballs;1;2;1;76;58;2;7;2;4;137;;1;4;76;Control
Burger;4;3;1;78;72;1;7;2;6;185;;1;4;90;Seven
Sausages;3;2;1;75;72;1;7;2;6;185;;1;4;90;Seven
Nuggets;3;2;1;67;72;1;7;2;6;185;;1;4;90;Seven
Meatballs;5;5;1;84;72;1;7;2;6;185;;1;4;90;Seven
Burger;4;1;0;61;60;1;7;4;4;140;;1;4;91;Seven
Sausages;2;1;0;17;60;1;7;4;4;140;;1;4;91;Seven
Nuggets;3;1;0;31;60;1;7;4;4;140;;1;4;91;Seven
Meatballs;5;1;0;50;60;1;7;4;4;140;;1;4;91;Seven
Burger;6;6;1;75;36;2;7;4;2;136;;1;4;92;Seven
Sausages;5;5;1;60;36;2;7;4;2;136;;1;4;92;Seven
Nuggets;6;6;1;70;36;2;7;4;2;136;;1;4;92;Seven
Meatballs;6;7;1;65;36;2;7;4;2;136;;1;4;92;Seven
Burger;6;6;1;90;41;1;7;3;3;146;;1;4;94;Control
Sausages;2;3;0;49;41;1;7;3;3;146;;1;4;94;Control
Nuggets;3;6;1;75;41;1;7;3;3;146;;1;4;94;Control
Meatballs;1;4;1;63;41;1;7;3;3;146;;1;4;94;Control
Burger;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Sausages;3;4;1;90;50;2;8;3;3;264;;1;4;96;Control
Nuggets;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Meatballs;3;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Burger;4;2;1;45;45;1;8;5;7;249;;1;4;107;Control
Sausages;3;2;1;50;45;1;8;5;7;249;;1;4;107;Control
Nuggets;3;2;0;33;45;1;8;5;7;249;;1;4;107;Control
Meatballs;2;1;0;25;45;1;8;5;7;249;;1;4;107;Control
Burger;6;7;1;81;30;2;7;4;2;103;;1;4;115;Seven
Sausages;6;6;1;60;30;2;7;4;2;103;;1;4;115;Seven
Nuggets;4;5;1;55;30;2;7;4;2;103;;1;4;115;Seven
Meatballs;6;6;1;52;30;2;7;4;2;103;;1;4;115;Seven
Burger;4;2;1;70;25;2;5;4;4;160;;1;4;116;Seven
Sausages;5;2;0;65;25;2;5;4;4;160;;1;4;116;Seven
Nuggets;5;2;0;60;25;2;5;4;4;160;;1;4;116;Seven
Meatballs;1;1;0;40;25;2;5;4;4;160;;1;4;116;Seven
Burger;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Sausages;5;5;1;50;33;2;8;2;2;122;;1;4;118;Control
Nuggets;5;5;1;60;33;2;8;2;2;122;;1;4;118;Control
Meatballs;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Burger;4;3;0;51;32;2;8;5;3;201;;1;4;119;Seven
Sausages;4;3;0;49;32;2;8;5;3;201;;1;4;119;Seven
Nuggets;6;5;1;59;32;2;8;5;3;201;;1;4;119;Seven
Meatballs;7;7;1;64;32;2;8;5;3;201;;1;4;119;Seven
Burger;4;2;1;90;70;2;8;2;3;203;;1;4;127;Control
Sausages;2;1;0;60;70;2;8;2;3;203;;1;4;127;Control
Nuggets;3;2;0;70;70;2;8;2;3;203;;1;4;127;Control
Meatballs;3;3;1;85;70;2;8;2;3;203;;1;4;127;Control
Burger;5;5;1;72;59;2;5;3;4;132;;1;4;129;Seven
Sausages;4;2;0;58;59;2;5;3;4;132;;1;4;129;Seven
Nuggets;4;2;0;63;59;2;5;3;4;132;;1;4;129;Seven
Meatballs;5;3;1;66;59;2;5;3;4;132;;1;4;129;Seven
Burger;6;4;1;75;29;2;7;2;2;298;;1;4;130;Control
Sausages;5;5;1;65;29;2;7;2;2;298;;1;4;130;Control
Nuggets;5;4;1;82;29;2;7;2;2;298;;1;4;130;Control
Meatballs;4;2;0;42;29;2;7;2;2;298;;1;4;130;Control
Burger;5;4;1;70;26;2;5;3;5;154;;1;4;134;Seven
Sausages;4;3;1;60;26;2;5;3;5;154;;1;4;134;Seven
Nuggets;6;7;1;80;26;2;5;3;5;154;;1;4;134;Seven
Meatballs;3;3;0;53;26;2;5;3;5;154;;1;4;134;Seven
Burger;4;1;0;35;64;2;7;3;3;151;;1;4;135;Control
