Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;6;7;1;93;62;2;4;2;6;118;;1;4;4;Six
Sausages;5;6;1;97;62;2;4;2;6;118;;1;4;4;Six
Nuggets;6;5;1;90;62;2;4;2;6;118;;1;4;4;Six
Meatballs;6;6;1;80;62;2;4;2;6;118;;1;4;4;Six
Burger;5;3;1;70;56;2;7;1;5;159;;1;4;9;Six
Sausages;5;5;1;70;56;2;7;1;5;159;;1;4;9;Six
Nuggets;3;2;0;40;56;2;7;1;5;159;;1;4;9;Six
Meatballs;2;1;0;50;56;2;7;1;5;159;;1;4;9;Six
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;4;6;1;60;59;1;7;2;3;160;;1;4;21;Six
Sausages;5;6;1;75;59;1;7;2;3;160;;1;4;21;Six
Nuggets;7;7;1;80;59;1;7;2;3;160;;1;4;21;Six
Meatballs;6;6;1;65;59;1;7;2;3;160;;1;4;21;Six
Burger;3;3;1;71;35;2;5;2;4;133;;1;4;23;Six
Sausages;6;4;1;90;35;2;5;2;4;133;;1;4;23;Six
Nuggets;4;2;1;70;35;2;5;2;4;133;;1;4;23;Six
Meatballs;1;2;0;51;35;2;5;2;4;133;;1;4;23;Six
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;5;1;1;80;58;1;6;2;5;134;;1;4;48;Six
Sausages;5;1;1;75;58;1;6;2;5;134;;1;4;48;Six
Nuggets;1;1;1;58;58;1;6;2;5;134;;1;4;48;Six
Meatballs;2;1;1;63;58;1;6;2;5;134;;1;4;48;Six
Burger;6;6;1;93;26;2;7;2;2;166;;1;4;55;Six
Sausages;4;4;1;61;26;2;7;2;2;166;;1;4;55;Six
Nuggets;6;5;1;84;26;2;7;2;2;166;;1;4;55;Six
Meatballs;6;4;1;71;26;2;7;2;2;166;;1;4;55;Six
Burger;3;3;0;38;32;2;7;4;3;119;;1;4;63;Six
Sausages;6;6;1;61;32;2;7;4;3;119;;1;4;63;Six
Nuggets;4;4;0;46;32;2;7;4;3;119;;1;4;63;Six
Meatballs;3;3;0;35;32;2;7;4;3;119;;1;4;63;Six
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
Meatballs;1;2;1;76;58;2;7;2;4;137;;1;4;76;Control
Burger;3;3;1;80;55;1;4;1;5;294;;1;4;83;Six
Sausages;6;5;1;95;55;1;4;1;5;294;;1;4;83;Six
Nuggets;4;4;1;85;55;1;4;1;5;294;;1;4;83;Six
Meatballs;5;5;1;90;55;1;4;1;5;294;;1;4;83;Six
Burger;4;4;1;60;44;2;7;4;4;152;;1;4;85;Six
Sausages;5;6;1;80;44;2;7;4;4;152;;1;4;85;Six
Nuggets;6;6;1;90;44;2;7;4;4;152;;1;4;85;Six
Meatballs;5;5;1;75;44;2;7;4;4;152;;1;4;85;Six
Burger;6;6;1;90;41;1;7;3;3;146;;1;4;94;Control
Sausages;2;3;0;49;41;1;7;3;3;146;;1;4;94;Control
Nuggets;3;6;1;75;41;1;7;3;3;146;;1;4;94;Control
Meatballs;1;4;1;63;41;1;7;3;3;146;;1;4;94;Control
Burger;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Sausages;3;4;1;90;50;2;8;3;3;264;;1;4;96;Control
Nuggets;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Meatballs;3;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Burger;1;1;0;0;42;2;7;3;4;130;;1;4;97;Six
Sausages;4;3;1;96;42;2;7;3;4;130;;1;4;97;Six
Nuggets;1;1;0;75;42;2;7;3;4;130;;1;4;97;Six
Meatballs;2;3;1;82;42;2;7;3;4;130;;1;4;97;Six
Burger;4;2;1;45;45;1;8;5;7;249;;1;4;107;Control
Sausages;3;2;1;50;45;1;8;5;7;249;;1;4;107;Control
Nuggets;3;2;0;33;45;1;8;5;7;249;;1;4;107;Control
Meatballs;2;1;0;25;45;1;8;5;7;249;;1;4;107;Control
Burger;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Sausages;5;5;1;50;33;2;8;2;2;122;;1;4;118;Control
Nuggets;5;5;1;60;33;2;8;2;2;122;;1;4;118;Control
Meatballs;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Burger;4;2;1;90;70;2;8;2;3;203;;1;4;127;Control
Sausages;2;1;0;60;70;2;8;2;3;203;;1;4;127;Control
Nuggets;3;2;0;70;70;2;8;2;3;203;;1;4;127;Control
Meatballs;3;3;1;85;70;2;8;2;3;203;;1;4;127;Control
Burger;6;4;1;75;29;2;7;2;2;298;;1;4;130;Control
Sausages;5;5;1;65;29;2;7;2;2;298;;1;4;130;Control
Nuggets;5;4;1;82;29;2;7;2;2;298;;1;4;130;Control
Meatballs;4;2;0;42;29;2;7;2;2;298;;1;4;130;Control
Burger;4;1;0;35;64;2;7;3;3;151;;1;4;135;Control
Sausages;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Nuggets;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Meatballs;4;1;0;20;64;2;7;3;3;151;;1;4;135;Control
Burger;4;5;1;50;33;2;8;5;4;128;;1;4;136;Six
Sausages;5;5;1;60;33;2;8;5;4;128;;1;4;136;Six
Nuggets;5;5;1;50;33;2;8;5;4;128;;1;4;136;Six
Meatballs;4;4;1;30;33;2;8;5;4;128;;1;4;136;Six
Burger;2;3;1;40;50;2;6;2;5;170;;1;4;138;Six
Sausages;5;4;1;29;50;2;6;2;5;170;;1;4;138;Six
Nuggets;5;5;1;29;50;2;6;2;5;170;;1;4;138;Six
Meatballs;5;4;1;19;50;2;6;2;5;170;;1;4;138;Six
Burger;6;6;1;100;44;1;7;2;4;109;;1;4;141;Control
Sausages;3;3;1;94;44;1;7;2;4;109;;1;4;141;Control
Nuggets;4;3;1;98;44;1;7;2;4;109;;1;4;141;Control
Meatballs;3;4;1;81;44;1;7;2;4;109;;1;4;141;Control
Burger;4;1;0;73;59;1;4;2;4;317;;1;4;145;Six
Sausages;3;1;0;61;59;1;4;2;4;317;;1;4;145;Six
Nuggets;3;1;0;67;59;1;4;2;4;317;;1;4;145;Six
Meatballs;2;1;0;39;59;1;4;2;4;317;;1;4;145;Six
Burger;2;3;0;15;48;1;7;5;5;491;;1;4;149;Six
Sausages;5;6;1;90;48;1;7;5;5;491;;1;4;149;Six
Nuggets;5;4;1;80;48;1;7;5;5;491;;1;4;149;Six
Meatballs;6;5;1;90;48;1;7;5;5;491;;1;4;149;Six
Burger;4;3;1;50;37;2;5;3;4;144;;1;4;152;Six
Sausages;4;2;1;64;37;2;5;3;4;144;;1;4;152;Six
Nuggets;1;1;0;40;37;2;5;3;4;144;;1;4;152;Six
Meatballs;1;1;0;29;37;2;5;3;4;144;;1;4;152;Six
Burger;3;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Sausages;1;1;0;85;54;1;7;3;3;129;;1;4;153;Control
Nuggets;1;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Meatballs;3;1;0;90;54;1;7;3;3;129;;1;4;153;Control
Burger;4;3;1;75;63;2;7;2;1;279;;1;4;154;Six
Sausages;6;7;1;80;63;2;7;2;1;279;;1;4;154;Six
Nuggets;6;5;0;50;63;2;7;2;1;279;;1;4;154;Six
Meatballs;6;6;1;60;63;2;7;2;1;279;;1;4;154;Six
Burger;3;4;1;95;55;2;8;2;2;133;;1;4;167;Six
Sausages;5;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Nuggets;5;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Meatballs;7;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Burger;3;2;1;40;42;1;7;5;5;130;;1;4;170;Control
Sausages;4;3;1;45;42;1;7;5;5;130;;1;4;170;Control
Nuggets;4;2;1;34;42;1;7;5;5;130;;1;4;170;Control
Meatballs;3;2;1;30;42;1;7;5;5;130;;1;4;170;Control
