Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;6;5;1;99;29;1;8;3;3;734;;1;4;1;Three
Sausages;4;5;1;90;29;1;8;3;3;734;;1;4;1;Three
Nuggets;6;6;1;97;29;1;8;3;3;734;;1;4;1;Three
Meatballs;6;5;1;99;29;1;8;3;3;734;;1;4;1;Three
Burger;5;5;1;64;31;1;8;5;3;75;;1;4;2;Three
Sausages;6;5;1;81;31;1;8;5;3;75;;1;4;2;Three
Nuggets;4;6;1;57;31;1;8;5;3;75;;1;4;2;Three
Meatballs;6;6;1;72;31;1;8;5;3;75;;1;4;2;Three
Burger;5;7;1;70;27;2;5;3;4;136;;1;4;15;Three
Sausages;5;7;1;70;27;2;5;3;4;136;;1;4;15;Three
Nuggets;6;7;1;70;27;2;5;3;4;136;;1;4;15;Three
Meatballs;7;7;1;70;27;2;5;3;4;136;;1;4;15;Three
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;6;6;1;77;26;1;7;2;3;99;;1;4;24;Three
Sausages;3;3;1;46;26;1;7;2;3;99;;1;4;24;Three
Nuggets;4;2;1;58;26;1;7;2;3;99;;1;4;24;Three
Meatballs;5;6;1;85;26;1;7;2;3;99;;1;4;24;Three
Burger;4;4;1;42;34;1;8;4;5;104;;1;4;39;Three
Sausages;6;6;1;65;34;1;8;4;5;104;;1;4;39;Three
Nuggets;4;3;1;38;34;1;8;4;5;104;;1;4;39;Three
Meatballs;5;5;1;79;34;1;8;4;5;104;;1;4;39;Three
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;7;6;1;40;37;1;5;3;4;119;;1;4;47;Three
Sausages;6;6;1;40;37;1;5;3;4;119;;1;4;47;Three
Nuggets;4;5;1;50;37;1;5;3;4;119;;1;4;47;Three
Meatballs;4;3;1;23;37;1;5;3;4;119;;1;4;47;Three
Burger;3;2;1;59;46;2;7;3;3;108;;1;4;50;Three
Sausages;2;2;0;55;46;2;7;3;3;108;;1;4;50;Three
Nuggets;2;1;1;57;46;2;7;3;3;108;;1;4;50;Three
Meatballs;4;3;1;72;46;2;7;3;3;108;;1;4;50;Three
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
Meatballs;1;2;1;76;58;2;7;2;4;137;;1;4;76;Control
Burger;4;4;1;95;64;1;4;1;4;156;;1;4;78;Three
Sausages;5;6;1;90;64;1;4;1;4;156;;1;4;78;Three
Nuggets;5;5;1;90;64;1;4;1;4;156;;1;4;78;Three
Meatballs;6;6;1;95;64;1;4;1;4;156;;1;4;78;Three
Burger;4;2;1;60;46;2;7;1;4;119;;1;4;80;Three
Sausages;1;2;1;60;46;2;7;1;4;119;;1;4;80;Three
Nuggets;1;1;1;60;46;2;7;1;4;119;;1;4;80;Three
Meatballs;1;2;1;60;46;2;7;1;4;119;;1;4;80;Three
Burger;1;1;0;80;51;1;4;3;5;389;;1;4;81;Three
Sausages;3;1;0;80;51;1;4;3;5;389;;1;4;81;Three
Nuggets;1;1;0;80;51;1;4;3;5;389;;1;4;81;Three
Meatballs;4;1;0;90;51;1;4;3;5;389;;1;4;81;Three
Burger;6;6;1;90;41;1;7;3;3;146;;1;4;94;Control
Sausages;2;3;0;49;41;1;7;3;3;146;;1;4;94;Control
Nuggets;3;6;1;75;41;1;7;3;3;146;;1;4;94;Control
Meatballs;1;4;1;63;41;1;7;3;3;146;;1;4;94;Control
Burger;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Sausages;3;4;1;90;50;2;8;3;3;264;;1;4;96;Control
Nuggets;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Meatballs;3;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Burger;4;2;1;80;63;2;5;4;4;218;;1;4;99;Three
Sausages;5;4;1;80;63;2;5;4;4;218;;1;4;99;Three
Nuggets;5;2;1;80;63;2;5;4;4;218;;1;4;99;Three
Meatballs;5;5;1;80;63;2;5;4;4;218;;1;4;99;Three
Burger;4;3;1;60;42;1;5;4;4;211;;1;4;103;Three
Sausages;6;6;1;75;42;1;5;4;4;211;;1;4;103;Three
Nuggets;3;3;1;65;42;1;5;4;4;211;;1;4;103;Three
Meatballs;6;5;1;70;42;1;5;4;4;211;;1;4;103;Three
Burger;5;2;1;69;29;1;4;1;3;175;;1;4;104;Three
Sausages;2;1;1;28;29;1;4;1;3;175;;1;4;104;Three
Nuggets;3;2;1;40;29;1;4;1;3;175;;1;4;104;Three
Meatballs;5;3;1;58;29;1;4;1;3;175;;1;4;104;Three
Burger;4;2;1;45;45;1;8;5;7;249;;1;4;107;Control
Sausages;3;2;1;50;45;1;8;5;7;249;;1;4;107;Control
Nuggets;3;2;0;33;45;1;8;5;7;249;;1;4;107;Control
Meatballs;2;1;0;25;45;1;8;5;7;249;;1;4;107;Control
Burger;4;3;1;89;47;1;7;1;4;133;;1;4;114;Three
Sausages;2;2;1;46;47;1;7;1;4;133;;1;4;114;Three
Nuggets;3;2;1;84;47;1;7;1;4;133;;1;4;114;Three
Meatballs;4;4;1;73;47;1;7;1;4;133;;1;4;114;Three
Burger;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Sausages;5;5;1;50;33;2;8;2;2;122;;1;4;118;Control
Nuggets;5;5;1;60;33;2;8;2;2;122;;1;4;118;Control
Meatballs;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Burger;4;4;1;71;49;2;7;4;6;157;;1;4;124;Three
Sausages;6;5;1;82;49;2;7;4;6;157;;1;4;124;Three
Nuggets;3;1;1;70;49;2;7;4;6;157;;1;4;124;Three
Meatballs;4;3;1;76;49;2;7;4;6;157;;1;4;124;Three
Burger;3;3;0;16;29;2;4;2;1;97;;1;4;125;Three
Sausages;4;3;1;30;29;2;4;2;1;97;;1;4;125;Three
Nuggets;5;5;1;69;29;2;4;2;1;97;;1;4;125;Three
Meatballs;6;5;1;62;29;2;4;2;1;97;;1;4;125;Three
Burger;4;2;1;90;70;2;8;2;3;203;;1;4;127;Control
Sausages;2;1;0;60;70;2;8;2;3;203;;1;4;127;Control
Nuggets;3;2;0;70;70;2;8;2;3;203;;1;4;127;Control
Meatballs;3;3;1;85;70;2;8;2;3;203;;1;4;127;Control
Burger;6;4;1;75;29;2;7;2;2;298;;1;4;130;Control
Sausages;5;5;1;65;29;2;7;2;2;298;;1;4;130;Control
Nuggets;5;4;1;82;29;2;7;2;2;298;;1;4;130;Control
Meatballs;4;2;0;42;29;2;7;2;2;298;;1;4;130;Control
Burger;5;5;1;72;37;2;7;5;2;124;;1;4;133;Three
Sausages;4;4;1;38;37;2;7;5;2;124;;1;4;133;Three
Nuggets;5;5;1;42;37;2;7;5;2;124;;1;4;133;Three
Meatballs;4;4;1;66;37;2;7;5;2;124;;1;4;133;Three
Burger;4;1;0;35;64;2;7;3;3;151;;1;4;135;Control
Sausages;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Nuggets;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Meatballs;4;1;0;20;64;2;7;3;3;151;;1;4;135;Control
Burger;6;6;1;100;44;1;7;2;4;109;;1;4;141;Control
Sausages;3;3;1;94;44;1;7;2;4;109;;1;4;141;Control
Nuggets;4;3;1;98;44;1;7;2;4;109;;1;4;141;Control
Meatballs;3;4;1;81;44;1;7;2;4;109;;1;4;141;Control
Burger;3;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Sausages;1;1;0;85;54;1;7;3;3;129;;1;4;153;Control
Nuggets;1;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Meatballs;3;1;0;90;54;1;7;3;3;129;;1;4;153;Control
Burger;6;6;1;87;66;1;8;4;3;159;;1;4;155;Three
Sausages;4;4;1;81;66;1;8;4;3;159;;1;4;155;Three
Nuggets;4;5;1;76;66;1;8;4;3;159;;1;4;155;Three
Meatballs;3;3;1;77;66;1;8;4;3;159;;1;4;155;Three
Burger;5;5;1;85;48;1;5;5;5;97;;1;4;158;Three
Sausages;5;5;1;90;48;1;5;5;5;97;;1;4;158;Three
Nuggets;4;3;1;70;48;1;5;5;5;97;;1;4;158;Three
