Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;4;5;1;85;31;2;7;5;2;91;;1;4;6;Two
Sausages;3;3;0;65;31;2;7;5;2;91;;1;4;6;Two
Nuggets;5;4;1;85;31;2;7;5;2;91;;1;4;6;Two
Meatballs;1;1;1;40;31;2;7;5;2;91;;1;4;6;Two
Burger;6;1;1;80;58;2;5;2;4;121;;1;4;16;Two
Sausages;1;1;1;80;58;2;5;2;4;121;;1;4;16;Two
Nuggets;3;1;1;80;58;2;5;2;4;121;;1;4;16;Two
Meatballs;1;1;1;80;58;2;5;2;4;121;;1;4;16;Two
Burger;4;4;1;65;25;2;8;3;4;108;;1;4;17;Control
Sausages;3;3;1;65;25;2;8;3;4;108;;1;4;17;Control
Nuggets;4;4;1;70;25;2;8;3;4;108;;1;4;17;Control
Meatballs;3;3;0;35;25;2;8;3;4;108;;1;4;17;Control
Burger;4;4;1;51;32;2;7;2;2;93;;1;4;18;Control
Sausages;3;4;1;31;32;2;7;2;2;93;;1;4;18;Control
Nuggets;6;6;1;61;32;2;7;2;2;93;;1;4;18;Control
Meatballs;4;4;1;54;32;2;7;2;2;93;;1;4;18;Control
Burger;6;5;1;85;52;1;4;3;3;201;;1;4;19;Two
Sausages;6;5;1;85;52;1;4;3;3;201;;1;4;19;Two
Nuggets;5;4;1;75;52;1;4;3;3;201;;1;4;19;Two
Meatballs;6;4;1;85;52;1;4;3;3;201;;1;4;19;Two
Burger;6;5;1;78;53;1;7;5;7;136;;1;4;27;Two
Sausages;5;4;1;80;53;1;7;5;7;136;;1;4;27;Two
Nuggets;3;1;1;66;53;1;7;5;7;136;;1;4;27;Two
Meatballs;4;4;1;74;53;1;7;5;7;136;;1;4;27;Two
Burger;1;1;0;11;61;1;5;5;4;102;;2;4;33;Two
Sausages;1;1;0;10;61;1;5;5;4;102;;2;4;33;Two
Nuggets;1;1;0;19;61;1;5;5;4;102;;2;4;33;Two
Meatballs;1;1;0;12;61;1;5;5;4;102;;2;4;33;Two
Burger;5;3;1;61;49;2;6;4;2;175;;1;4;40;Control
Sausages;4;2;1;50;49;2;6;4;2;175;;1;4;40;Control
Nuggets;4;2;1;55;49;2;6;4;2;175;;1;4;40;Control
Meatballs;3;2;1;29;49;2;6;4;2;175;;1;4;40;Control
Burger;5;5;1;57;60;2;5;1;5;308;;1;4;41;Two
Sausages;5;5;1;59;60;2;5;1;5;308;;1;4;41;Two
Nuggets;3;3;0;34;60;2;5;1;5;308;;1;4;41;Two
Meatballs;4;4;1;42;60;2;5;1;5;308;;1;4;41;Two
Burger;4;5;1;49;53;1;4;3;7;291;;1;4;42;Control
Sausages;5;5;1;63;53;1;4;3;7;291;;1;4;42;Control
Nuggets;5;6;1;85;53;1;4;3;7;291;;1;4;42;Control
Meatballs;4;5;1;80;53;1;4;3;7;291;;1;4;42;Control
Burger;7;6;1;100;64;2;7;1;2;117;;2;4;49;Two
Sausages;6;6;1;100;64;2;7;1;2;117;;2;4;49;Two
Nuggets;5;5;1;100;64;2;7;1;2;117;;2;4;49;Two
Meatballs;7;6;1;100;64;2;7;1;2;117;;2;4;49;Two
Burger;6;3;1;90;49;1;7;1;6;166;;1;4;66;Two
Sausages;3;2;1;90;49;1;7;1;6;166;;1;4;66;Two
Nuggets;7;4;1;90;49;1;7;1;6;166;;1;4;66;Two
Meatballs;7;4;1;90;49;1;7;1;6;166;;1;4;66;Two
Burger;3;1;1;80;30;1;8;4;7;428;;1;4;67;Two
Sausages;1;1;0;0;30;1;8;4;7;428;;1;4;67;Two
Nuggets;1;1;1;50;30;1;8;4;7;428;;1;4;67;Two
Meatballs;1;1;0;50;30;1;8;4;7;428;;1;4;67;Two
Burger;6;4;1;76;78;1;5;2;4;167;;1;4;69;Control
Sausages;3;3;1;74;78;1;5;2;4;167;;1;4;69;Control
Nuggets;3;3;1;71;78;1;5;2;4;167;;1;4;69;Control
Meatballs;4;3;1;91;78;1;5;2;4;167;;1;4;69;Control
Burger;3;3;1;81;58;2;7;2;4;137;;1;4;76;Control
Sausages;1;2;1;82;58;2;7;2;4;137;;1;4;76;Control
Nuggets;2;2;1;81;58;2;7;2;4;137;;1;4;76;Control
Meatballs;1;2;1;76;58;2;7;2;4;137;;1;4;76;Control
Burger;5;5;1;40;34;1;7;5;5;144;;1;4;77;Two
Sausages;2;2;0;9;34;1;7;5;5;144;;1;4;77;Two
Nuggets;5;6;1;60;34;1;7;5;5;144;;1;4;77;Two
Meatballs;6;6;1;40;34;1;7;5;5;144;;1;4;77;Two
Burger;6;5;1;69;58;2;7;4;4;137;;1;4;84;Two
Sausages;1;2;0;30;58;2;7;4;4;137;;1;4;84;Two
Nuggets;3;3;1;53;58;2;7;4;4;137;;1;4;84;Two
Meatballs;3;4;1;73;58;2;7;4;4;137;;1;4;84;Two
Burger;6;6;1;90;41;1;7;3;3;146;;1;4;94;Control
Sausages;2;3;0;49;41;1;7;3;3;146;;1;4;94;Control
Nuggets;3;6;1;75;41;1;7;3;3;146;;1;4;94;Control
Meatballs;1;4;1;63;41;1;7;3;3;146;;1;4;94;Control
Burger;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Sausages;3;4;1;90;50;2;8;3;3;264;;1;4;96;Control
Nuggets;4;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Meatballs;3;4;1;92;50;2;8;3;3;264;;1;4;96;Control
Burger;4;2;1;70;30;2;7;4;3;208;;1;4;105;Two
Sausages;3;2;1;60;30;2;7;4;3;208;;1;4;105;Two
Nuggets;5;3;1;80;30;2;7;4;3;208;;1;4;105;Two
Meatballs;4;2;1;70;30;2;7;4;3;208;;1;4;105;Two
Burger;4;2;1;45;45;1;8;5;7;249;;1;4;107;Control
Sausages;3;2;1;50;45;1;8;5;7;249;;1;4;107;Control
Nuggets;3;2;0;33;45;1;8;5;7;249;;1;4;107;Control
Meatballs;2;1;0;25;45;1;8;5;7;249;;1;4;107;Control
Burger;4;5;1;85;70;1;8;4;4;135;;1;4;113;Two
Sausages;2;2;1;48;70;1;8;4;4;135;;1;4;113;Two
Nuggets;4;5;1;90;70;1;8;4;4;135;;1;4;113;Two
Meatballs;1;2;1;70;70;1;8;4;4;135;;1;4;113;Two
Burger;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Sausages;5;5;1;50;33;2;8;2;2;122;;1;4;118;Control
Nuggets;5;5;1;60;33;2;8;2;2;122;;1;4;118;Control
Meatballs;5;5;1;55;33;2;8;2;2;122;;1;4;118;Control
Burger;6;5;1;81;48;1;8;4;3;271;;1;4;123;Two
Sausages;3;2;1;60;48;1;8;4;3;271;;1;4;123;Two
Nuggets;4;3;1;55;48;1;8;4;3;271;;1;4;123;Two
Meatballs;2;3;1;40;48;1;8;4;3;271;;1;4;123;Two
Burger;4;2;1;90;70;2;8;2;3;203;;1;4;127;Control
Sausages;2;1;0;60;70;2;8;2;3;203;;1;4;127;Control
Nuggets;3;2;0;70;70;2;8;2;3;203;;1;4;127;Control
Meatballs;3;3;1;85;70;2;8;2;3;203;;1;4;127;Control
Burger;4;1;0;30;58;2;5;2;3;169;;1;4;128;Two
Sausages;1;1;0;10;58;2;5;2;3;169;;1;4;128;Two
Nuggets;3;1;0;20;58;2;5;2;3;169;;1;4;128;Two
Meatballs;2;1;0;25;58;2;5;2;3;169;;1;4;128;Two
Burger;6;4;1;75;29;2;7;2;2;298;;1;4;130;Control
Sausages;5;5;1;65;29;2;7;2;2;298;;1;4;130;Control
Nuggets;5;4;1;82;29;2;7;2;2;298;;1;4;130;Control
Meatballs;4;2;0;42;29;2;7;2;2;298;;1;4;130;Control
Burger;4;1;0;35;64;2;7;3;3;151;;1;4;135;Control
Sausages;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Nuggets;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Meatballs;4;1;0;20;64;2;7;3;3;151;;1;4;135;Control
Burger;6;6;1;100;44;1;7;2;4;109;;1;4;141;Control
Sausages;3;3;1;94;44;1;7;2;4;109;;1;4;141;Control
Nuggets;4;3;1;98;44;1;7;2;4;109;;1;4;141;Control
Meatballs;3;4;1;81;44;1;7;2;4;109;;1;4;141;Control
Burger;6;5;1;87;48;2;7;5;4;133;;1;4;144;Two
Sausages;1;2;0;56;48;2;7;5;4;133;;1;4;144;Two
Nuggets;5;4;1;73;48;2;7;5;4;133;;1;4;144;Two
Meatballs;2;2;0;42;48;2;7;5;4;133;;1;4;144;Two
Burger;4;4;1;60;48;2;7;4;3;194;;1;4;146;Two
Sausages;5;5;1;70;48;2;7;4;3;194;;1;4;146;Two
Nuggets;5;5;1;70;48;2;7;4;3;194;;1;4;146;Two
Meatballs;4;4;1;55;48;2;7;4;3;194;;1;4;146;Two
